id_solicitante,edad,sexo,ciudad,region,estrato,nivel_educativo,estado_civil,num_dependientes,tipo_empleo,antiguedad_laboral_meses,ingreso_mensual,gastos_fijos_mensuales,score_buro,num_creditos_anteriores,num_creditos_mora,dias_mora_max,monto_solicitado,plazo_meses,relacion_cuota_ingreso,tiene_codeudor,tiene_garantia,credito_aprobado
FC-00001,26,F,Bogotá,interior,2,posgrado,soltero,5,desempleado,0,682316,390684,350,0,0,0,5000000,24,0.3963,0,0,0
FC-00002,50,F,Bogotá,interior,4,bachillerato,soltero,0,independiente,57,4718833,2401867,620,3,2,30,1000000,24,0.0115,1,0,1
FC-00003,18,F,Pereira,interior,3,bachillerato,casado,1,empleado_formal,45,1792816,689765,516,3,0,0,2000000,12,0.1068,1,1,0
FC-00004,45,M,Bogotá,interior,2,bachillerato,soltero,3,informal,96,2446193,1638712,434,0,0,0,3000000,36,0.0497,0,0,0
FC-00005,54,F,Medellín,interior,3,posgrado,union_libre,0,independiente,28,1539549,1115606,457,1,0,0,10000000,6,1.1674,1,0,0
FC-00006,59,M,Cúcuta,costa_norte,3,posgrado,soltero,2,independiente,3,2114365,987500,556,1,0,0,500000,24,0.0128,0,0,1
FC-00007,19,M,Cali,costa_norte,3,universitario,casado,2,empleado_formal,6,1901024,691871,594,2,1,120,1000000,48,0.0179,0,0,0
FC-00008,53,F,Medellín,interior,2,tecnico,soltero,0,empleado_formal,91,1056416,508453,507,1,0,0,5000000,36,0.1917,0,0,0
FC-00009,28,M,Cali,costa_norte,1,bachillerato,soltero,3,empleado_formal,9,779598,453002,567,2,0,0,1000000,18,0.0871,0,0,1
FC-00010,20,F,Barranquilla,costa_norte,5,tecnico,union_libre,4,empleado_formal,6,7713706,3435996,534,5,0,0,5000000,12,0.062,1,1,1
FC-00011,50,M,Bucaramanga,interior,2,posgrado,casado,2,independiente,61,1418778,503328,350,3,0,0,5000000,24,0.1906,1,0,0
FC-00012,55,M,Barranquilla,costa_norte,2,tecnico,union_libre,1,desempleado,0,575114,299984,452,3,0,0,3000000,36,0.2113,1,1,0
FC-00013,67,M,Bogotá,interior,4,primaria,casado,0,independiente,116,4369904,2364600,619,2,0,0,3000000,24,0.0371,0,0,1
FC-00014,48,M,Bogotá,interior,2,universitario,casado,3,informal,11,1598501,708726,419,4,0,0,5000000,6,0.5622,1,1,0
FC-00015,65,M,Bogotá,interior,4,tecnico,soltero,0,independiente,21,4000240,2025065,603,5,2,90,2000000,36,0.0203,0,0,0
FC-00016,28,M,Medellín,interior,2,bachillerato,divorciado,0,independiente,16,2112765,1547342,446,3,0,0,5000000,18,0.1606,0,0,0
FC-00017,64,F,Medellín,interior,1,bachillerato,soltero,2,informal,24,1244980,667065,489,3,0,0,3000000,12,0.2307,0,0,0
FC-00018,49,M,Bogotá,interior,2,primaria,soltero,5,independiente,19,1171726,774333,439,1,1,30,3000000,24,0.1385,0,0,0
FC-00019,65,M,Bogotá,interior,4,universitario,union_libre,2,pensionado,26,3356838,2438903,461,2,0,0,5000000,18,0.1011,0,0,0
FC-00020,29,M,Medellín,interior,2,universitario,soltero,0,informal,30,1430015,742489,560,1,0,0,500000,24,0.0189,1,1,1
FC-00021,46,M,Medellín,interior,4,bachillerato,soltero,4,empleado_formal,101,4390787,3142092,613,3,0,0,5000000,6,0.2047,1,0,1
FC-00022,45,M,Pereira,interior,2,posgrado,soltero,1,empleado_formal,38,1350846,730829,505,0,0,0,1000000,36,0.03,1,0,1
FC-00023,57,F,Cali,costa_norte,2,tecnico,soltero,0,independiente,66,1287790,958497,598,0,0,0,5000000,12,0.3717,0,0,1
FC-00024,68,F,Bogotá,interior,3,tecnico,divorciado,0,empleado_formal,48,894892,479388,404,0,0,0,500000,24,0.0302,0,0,0
FC-00025,27,F,Barranquilla,costa_norte,1,tecnico,casado,0,informal,25,1297158,789800,350,2,0,0,5000000,24,0.2084,0,0,0
FC-00026,56,F,Cartagena,costa_norte,3,primaria,soltero,2,independiente,9,2476311,1832550,368,2,1,30,5000000,48,0.0685,0,0,0
FC-00027,44,F,Cartagena,costa_norte,2,primaria,divorciado,0,independiente,73,1055205,410988,513,0,0,0,1000000,24,0.0512,0,1,0
FC-00028,70,F,Bogotá,interior,3,universitario,union_libre,5,independiente,62,2169807,1056848,451,2,0,0,3000000,48,0.0469,0,0,0
FC-00029,60,F,Barranquilla,costa_norte,1,bachillerato,union_libre,0,independiente,22,1113168,556022,454,1,1,90,1000000,24,0.0486,0,0,0
FC-00030,49,M,Cartagena,costa_norte,4,tecnico,soltero,2,informal,44,4707267,2133654,435,3,3,120,5000000,36,0.043,1,0,0
FC-00031,51,M,Bucaramanga,interior,4,tecnico,soltero,0,empleado_formal,56,4341193,2086074,536,6,0,0,3000000,6,0.1242,0,0,1
FC-00032,40,F,Bucaramanga,interior,2,universitario,divorciado,1,empleado_formal,39,2397025,1727685,375,1,1,180,2000000,24,0.0451,1,0,0
FC-00033,45,F,Pereira,interior,3,bachillerato,casado,1,empleado_formal,4,1314845,752348,463,1,0,0,3000000,24,0.1234,0,0,0
FC-00034,40,M,Manizales,interior,4,posgrado,union_libre,1,independiente,39,3974637,1987663,539,0,0,0,8000000,12,0.1927,0,1,1
FC-00035,23,F,Cali,costa_norte,3,universitario,divorciado,2,empleado_formal,1,2562991,1840474,482,0,0,0,1000000,36,0.0158,0,1,0
FC-00036,47,M,Cartagena,costa_norte,3,tecnico,casado,0,independiente,9,2825940,1564978,456,2,0,0,1000000,12,0.0339,1,0,0
FC-00037,69,M,Medellín,interior,1,universitario,casado,2,independiente,50,1010830,409025,446,0,0,0,10000000,36,0.4007,1,0,0
FC-00038,22,F,Bogotá,interior,3,bachillerato,casado,1,informal,48,1779627,1154630,488,2,0,0,1000000,24,0.0304,0,0,0
FC-00039,40,F,Bogotá,interior,6,bachillerato,soltero,5,empleado_formal,1,13388007,6281950,673,0,0,0,2000000,24,0.0081,0,0,1
FC-00040,38,M,Medellín,interior,2,primaria,soltero,2,informal,41,1753988,857922,586,3,1,90,1000000,18,0.0387,1,1,0
FC-00041,26,M,Barranquilla,costa_norte,2,primaria,casado,0,independiente,89,2381719,1275949,459,2,2,90,2000000,24,0.0454,0,0,0
FC-00042,36,F,Bucaramanga,interior,5,universitario,soltero,2,independiente,22,9726629,5217674,640,0,0,0,8000000,12,0.0787,0,0,1
FC-00043,51,F,Medellín,interior,2,universitario,soltero,2,empleado_formal,98,1428579,787648,434,0,0,0,10000000,12,0.6701,0,0,0
FC-00044,44,F,Cúcuta,costa_norte,5,tecnico,casado,2,independiente,79,4966554,2401101,640,0,0,0,1000000,18,0.0137,1,0,1
FC-00045,28,M,Bogotá,interior,1,primaria,casado,3,independiente,5,900646,512911,474,2,1,180,2000000,12,0.2126,1,0,0
FC-00046,25,F,Medellín,interior,4,bachillerato,casado,1,empleado_formal,38,5116825,3470207,595,6,0,0,2000000,24,0.0211,0,1,1
FC-00047,66,M,Cúcuta,costa_norte,1,bachillerato,casado,3,desempleado,0,383143,168894,402,1,0,0,1000000,12,0.2498,0,0,0
FC-00048,58,M,Barranquilla,costa_norte,3,posgrado,soltero,1,empleado_formal,34,2795463,1271222,384,4,0,0,2000000,24,0.0387,1,0,0
FC-00049,71,M,Bucaramanga,interior,1,bachillerato,soltero,4,desempleado,0,604942,339352,375,1,0,0,8000000,12,1.2659,0,0,0
FC-00050,48,F,Bucaramanga,interior,1,bachillerato,soltero,1,empleado_formal,45,1612999,587694,613,3,1,30,5000000,36,0.1256,0,0,1
FC-00051,31,M,Bogotá,interior,1,posgrado,soltero,3,pensionado,18,1520265,980356,350,2,0,0,3000000,24,0.1067,0,1,0
FC-00052,50,M,Cali,costa_norte,2,posgrado,casado,2,informal,51,1080669,590352,396,3,0,0,8000000,18,0.5025,0,1,0
FC-00053,18,F,Cali,costa_norte,4,primaria,soltero,1,empleado_formal,21,4372809,2031879,507,3,0,0,1000000,36,0.0093,0,0,0
FC-00054,61,F,Medellín,interior,5,tecnico,soltero,3,pensionado,12,5754773,2410396,714,0,0,0,1000000,24,0.0094,1,1,1
